id,pmid,year,study_type,evidence_quality,n,coi,effect_size,title,authors,url,ingredients,research_reviews
pmid-41693488,41693488,2026,Meta-Analysis,moderate,1769,,"BDI -4.39 (95% CI: -6.64 to -2.15), BAI -5.06 (95% CI: -8.44 to -1.68) — but no effect on clinician-rated HDRS/HARS. I² > 90%","Effect of saffron on depression, anxiety and mood disorder: a GRADE assessed","Mahmoudi R et al.",https://pubmed.ncbi.nlm.nih.gov/41693488/,safran,2026-07-04
pmid-41804854,41804854,2026,RCT,high,,,"","Alpha-lipoic acid as a preventive measure in radiation-induced oral mucositis","Rizkalla BA et al.",https://pubmed.ncbi.nlm.nih.gov/41804854/,alpha-liponsaeure,2026-07-04
pmid-42024457,42024457,2026,RCT,high,135,none,"","Impact of oral iron dosing regimens on iron biomarkers during pregnancy: insights","PANDA Trial Investigators",https://pubmed.ncbi.nlm.nih.gov/42024457/,eisen,2026-07-18
pmid-42056717,42056717,2026,RCT,high,,,"","Efficacy and Safety of Pregabalin and Alpha-Lipoic Acid Combination in Patients","Oh TJ et al.",https://pubmed.ncbi.nlm.nih.gov/42056717/,alpha-liponsaeure,2026-07-04
pmid-42268476,42268476,2026,Umbrella Review,high,,unclear,"No significant effect on HbA1c, FBG, HOMA-IR, lipids — except modest LDL-C reduction","The effects of resveratrol on glycemic indices and lipid profile in patients with type 2 diabetes: an umbrella review and meta-analysis","Ghalichi F et al.",https://pubmed.ncbi.nlm.nih.gov/42268476/,resveratrol,2026-06-13; 2026-07-11
pmid-42277453,42277453,2026,Systematic Review,high,,,"","Comparative Efficacy of Nutraceuticals on Endothelial Function: A Systematic","Norouzzadeh M et al.",https://pubmed.ncbi.nlm.nih.gov/42277453/,,2026-06-13; 2026-07-11
pmid-42435069,42435069,2026,RCT,moderate,55,unclear,"","Quercetin prophylaxis in prevention of acute mountain sickness (AMS): a randomized,","Sagi SK et al.",https://pubmed.ncbi.nlm.nih.gov/42435069/,quercetin,2026-07-18
pmid-42467594,42467594,2026,RCT,moderate,,unclear,"","Astaxanthin Supplementation Lowers Respiratory Exchange Ratio During Submaximal Cycling in Females: A Randomized, Double-Blind, Placebo-Controlled Crossover Trial","Various",https://pubmed.ncbi.nlm.nih.gov/42467594/,astaxanthin,2026-07-18
pmid-42144851,42144851,2025,Meta-Analysis,high,,,"","Meta Analysis of DHA and EPA Supplementation on Cardiovascular Outcomes and","Alqaysi M et al.",https://pubmed.ncbi.nlm.nih.gov/42144851/,omega-3,2026-06-06; 2026-07-11
pmid-42247029,42247029,2025,Meta-Analysis,high,,,"","Curcumin versus placebo in benign prostatic hyperplasia: a systematic review","Li Z et al.",https://pubmed.ncbi.nlm.nih.gov/42247029/,curcumin,2026-06-06; 2026-06-13; 2026-07-11
pmid-41641401,41641401,2024,Review,low,,,"","Impact of oral magnesium supplementation on glycemic and cardiometabolic outcomes","Akbari M et al.",https://pubmed.ncbi.nlm.nih.gov/41641401/,magnesium,2026-06-06; 2026-07-11
pmid-41077538,41077538,2026,,low,,,"","Effects of alpha-lipoic acid supplementation on cardiometabolic risk factors:","Mohammadi et al.",https://pubmed.ncbi.nlm.nih.gov/41077538/,alpha-liponsaeure,
pmid-41362998,41362998,2026,Review,low,,,"","Cereal beta-glucan and cardiovascular disease risk reduction in overweight","Zheng et al.",https://pubmed.ncbi.nlm.nih.gov/41362998/,beta-glucan,
pmid-41735095,41735095,2026,Review,low,,,"","Riboflavin Deficiency Is Highly Prevalent in Females and Children across High","McAnena et al.",https://pubmed.ncbi.nlm.nih.gov/41735095/,vitamin-b2,
pmid-41824218,41824218,2026,,low,,,"","Acetyl-L-Carnitine in the Treatment of Peripheral Neuropathies: A Narrative","Fornasari et al.",https://pubmed.ncbi.nlm.nih.gov/41824218/,acetyl-l-carnitin,
pmid-41829896,41829896,2026,Observational Study,moderate,,,"","Phenylethanoid Glycosides from Cistanche deserticola Y. C. Ma: Synergistic","Liu et al.",https://pubmed.ncbi.nlm.nih.gov/41829896/,cistanche,
pmid-42057671,42057671,2026,,low,,,"","Biologically Active Ingredients and Underlying Mechanisms of Cordyceps in","Zhang et al.",https://pubmed.ncbi.nlm.nih.gov/42057671/,cordyceps,
pmid-42135539,42135539,2026,,low,,,"","Human whole-blood NAD+ levels do not vary with age or lifestyle interventions","Schmauck-Medina T et al.",https://pubmed.ncbi.nlm.nih.gov/42135539/,nmn; nr,
pmid-42143976,42143976,2026,,low,,,"","NMN mitigates high-altitude hypoxia-induced cognitive impairment by inhibiting","Xu Y et al.",https://pubmed.ncbi.nlm.nih.gov/42143976/,nmn,
pmid-42162613,42162613,2026,RCT,high,10,,"","Short-term Citrulline Malate Supplementation Enhances Lower-Limb Function in","Ramos-Hernández RI et al.",https://pubmed.ncbi.nlm.nih.gov/42162613/,l-citrullin,
pmid-42163863,42163863,2026,Review,low,,,"","The Prevalence of Nutritional Imbalances in the US Population Over Time: Biomarker","Pfeiffer et al.",https://pubmed.ncbi.nlm.nih.gov/42163863/,eisen,
pmid-42313117,42313117,2026,Review,low,,,"","Mechanisms of Actions of Physiological, Pharmacological, and Toxicological","Nielsen et al.",https://pubmed.ncbi.nlm.nih.gov/42313117/,bor,
pmid-42352330,42352330,2026,,low,,,"","Astragalus membranaceus Has Potential Anti-Aging and Anticancer Effects on","Abdelrahman et al.",https://pubmed.ncbi.nlm.nih.gov/42352330/,astragalus,
pmid-42478874,42478874,2026,,low,,,"","Correlation of MTHFR (methylenetetrahydrofolate reductase) gen polymorphism,","Zhang et al.",https://pubmed.ncbi.nlm.nih.gov/42478874/,folsaeure,
study-urolithin-a-clinicaltrials-2026,,2026,,,,,"","Effects of Urolithin A Supplementation on Glucose Metabolism in Healthy Adults 55+ Years Old","ClinicalTrials.gov",https://clinicaltrials.gov/study/NCT06274749,,
pmid-40126282,40126282,2025,,low,,,"","Choline Alphoscerate: A Therapeutic Option for the Management of Subthreshold","Granata et al.",https://pubmed.ncbi.nlm.nih.gov/40126282/,alpha-gpc,
pmid-40306555,40306555,2025,Comparative Study,moderate,,,"","Relationship of Choline Intake with Biomarkers of Liver Health by Genotype-A","Wallace et al.",https://pubmed.ncbi.nlm.nih.gov/40306555/,cholin,
pmid-40359479,40359479,2025,,low,,,"","Exploring astaxanthin: a comprehensive review on its pharmacokinetics properties","Mohd et al.",https://pubmed.ncbi.nlm.nih.gov/40359479/,astaxanthin,
pmid-40411697,40411697,2025,,low,,,"","Pterostilbene as a Multifaceted Anticancer Agent: Molecular Mechanisms, Therapeutic","Ali et al.",https://pubmed.ncbi.nlm.nih.gov/40411697/,pterostilben,
